0Name	Description
Janmastami	Annual celebration of Lord Krishna's advent coinciding with Srila Prabhupada's birth time
Jayadvaita Swami	Disciple initiated in 1968 who served as editor of Srila Prabhupada's books
Jayananda Dasa	Disciple of Srila Prabhupada initiated in 1967 known for his humble service
Jayapataka Swami	Disciple initiated in 1968 who has served ISKCON for decades
John Joseph	Lead singer of hardcore band Cro-Mags and Krishna devotee
Kirtanananda Swami	Early disciple of Srila Prabhupada initiated in 1966
Krishna-Balarama Temple	Magnificent temple and International Guest House constructed in Vrindavana India
Krishna Consciousness The Matchless Gift	Book published in 1974 based on Srila Prabhupada's teachings
Krishna the Supreme Personality of Godhead	Summary study of Krishna's pastimes published in 1970
League of Devotees	Organization started by Srila Prabhupada in Jhansi in 1953 to spread Krishna consciousness
Life Comes From Life	Book compiling conversations on scientific topics by Srila Prabhupada
Lokanath Mullik	Wealthy family associated with the Radha-Govinda temple across from Prabhupada's childhood home
Lokanatha Swami	Disciple initiated in 1971 known for preaching in rural India
Macmillan Company	Publishing company that published Bhagavad-gita As It Is in 1968
Mahatma Gandhi	Leader of Indian independence movement whom Srila Prabhupada joined in 1921
Mukunda Goswami	Early disciple of Srila Prabhupada initiated in 1966
MV Jaladuta	Cargo ship on which Srila Prabhupada traveled from Calcutta to USA in 1965 at age 69
Nandotsava	Festival celebrating Krishna's birth on which Srila Prabhupada was born
Nava Yogendra Swami	Disciple initiated in 1974
New Vrndavana	Experimental Vedic farm community created by Srila Prabhupada in West Virginia in 1968
On the Way to Krishna	Book based on Bhagavad-gita lectures published in 1973
Perfect Questions Perfect Answers	Book based on conversations with Srila Prabhupada published in 1977
Radha-Damodara Temple	Historic medieval temple in Vrindavana where Srila Prabhupada lived and wrote his books
Radha-Govinda Temple	Temple in Calcutta where young Abhay would daily visit and offer prayers to the Deities
Radhanath Swami	Disciple initiated in 1973 author of "The Journey Home" and Mumbai temple leader
Raja Vidya The King of Knowledge	Book based on Bhagavad-gita lectures by Srila Prabhupada
Rajani De	Mother of Srila Prabhupada who gave birth to him on Nandotsava day in Calcutta
Ranchor Dasa	Disciple initiated in 1971
Ratha Yatra	Festival conducted by young Srila Prabhupada in a Calcutta suburb in 1901
Ray Cappo	Singer of hardcore bands Youth of Today and Shelter and Krishna devotee
Romapada Swami	Disciple initiated in 1971
Russell Brand	English comedian and actor who has spoken about Krishna consciousness
Sacinandana Swami	Disciple initiated in 1972 known for kirtana and preaching in Germany
Sadaputa Dasa	Dr. Richard L. Thompson PhD initiated in 1975 who wrote on Vedic science
Sannyasa	Renounced order of life accepted by Srila Prabhupada in 1959 at the age of 63
Satsvarupa Dasa Goswami	Author of the seven-volume biography "Srila Prabhupada-lilamrta" and early disciple
Satyaraja Dasa	Steven J. Rosen initiated in 1976 author of many books on Krishna consciousness
Scottish Churches College	Educational institution where Srila Prabhupada studied philosophy as a student in 1916
Siddhesvar Mullik	Childhood friend of Abhay Charan who shared a perambulator and was called "Subidhi"
Sivarama Swami	Disciple initiated in 1973 leader of ISKCON in Hungary
Sri Caitanya-caritamrta	Seventeen-volume translation completed by Srila Prabhupada in 1975
Sri Isopanishad	Commentary on the most important of the 108 Upanishads by Srila Prabhupada
Sridhama Mayapur	Location of large international center in West Bengal India for Institute of Vedic Studies
Srila Bhaktisiddhanta Sarasvati Thakura	Spiritual master of Srila Prabhupada who ordered him to preach in the West
Srimad Bhagavatam	Multivolume translation and commentary on 18000-verse scripture by Srila Prabhupada
Suhotra Swami	Disciple initiated in 1971 who wrote many philosophical books
Sumati Morarji	Owner of Scindia Steam Navigation Company who provided free passage to Srila Prabhupada on MV Jaladuta
Suvarna-vanik	Merchant community of aristocratic heritage to which Srila Prabhupada's family belonged
Tamala Krishna Goswami	Disciple initiated in 1968 who served as personal secretary to Srila Prabhupada
Teachings of Lord Caitanya	Summary study of Lord Chaitanya's philosophy published in 1969
Teachings of Lord Kapila	Book based on Srila Prabhupada's Bhagavatam lectures
Teachings of Queen Kunti	Book based on Srila Prabhupada's lectures on Srimad Bhagavatam
The Nectar of Devotion	Summary study of Srila Rupa Goswami's Bhakti Rasamrita Sindhu by Srila Prabhupada
The Nectar of Instruction	Commentary on Upadeshamrita by Srila Prabhupada
The Perfection of Yoga	Book based on Bhagavad-gita lectures published in 1972
The Science of Self-Realization	Compilation of Srila Prabhupada's articles lectures and conversations
Tollygunge	Suburb of Calcutta where Srila Prabhupada was born on the bank of Adi Ganga
Trivikrama Swami	Disciple initiated in 1971
Urmila Devi Dasi	Disciple initiated in 1973 with PhD in education
Vairagya-vidya	Bengali book by Srila Prabhupada on renunciation
Vaisesika Dasa	Disciple initiated in 1973 known for preaching on Vaisnava etiquette
Vanaprastha	Retired order of life adopted by Srila Prabhupada in 1954 to devote more time to studies and writing
Vishnujana Swami	Disciple initiated in 1968 known for his wonderful kirtana leading
Vrindavana	Holy city where Srila Prabhupada lived and wrote his books at Radha-Damodara temple
