Word	Hint
Lakshmi	The eternal consort of Lord Narasimha who sits on His lap
Madhvacharya	The Vaishnava acharya in the disciplic succession who propagated the worship of Narasimha in South India
Mandarahill	Place where hiranyaksa performed austerities
Maya	"The illusory energy of the Lord which Hiranyakashipu was fully under, unlike Prahlada who was free of it"
Mayavi	A term used to describe Hiranyakashipu who was bewildered by the Lord's illusory potency
Mukti	Liberation from material existence which Prahlada did not desire but which was awarded to him
Nail	Lord Narasimha dev used this to kill the demon
Narada	Saved the mother of Prahlada from Indra
Narasimha	Incarnation of Lord who killed Hiranyakasipu
Panchajanya	The divine conchshell of Lord Vishnu blown by Narasimha after His victory over Hiranyakashipu
Pancharatra	The Vaishnava system of deity worship following which Lord Narasimha is worshipped in temples
Parikshit	The hearer of the Srimad Bhagavatam who listened to the Narasimha pastime and attained liberation
Pillar	The palace column from which the Lord burst forth in His Narasimha form when Hiranyakashipu challenged Prahlada
Prahlada	The pure devotee and son of Hiranyakashipu who was protected by Lord Narasimha
Pralamba	A demon associate of Hiranyakashipu mentioned in connection with the asura armies in the Bhagavatam
Pranatartihara	A name of Lord Narasimha meaning He who removes the suffering of those who surrender unto Him
Rusabhanu	Queen of Hiranyaksa
Samhlada	Prahlada's brother  - name starts with S
Sanaka	One of the four Kumaras who cursed the doorkeepers Jaya and Vijaya for blocking entry to Vaikuntha
Sanandana	Another of the four Kumaras who participated in the cursing of Jaya and Vijaya at the gates of Vaikuntha
Sanatana	Third of the four Kumaras who cursed the doorkeepers leading to the appearance of Hiranyakashipu
Sanatkumara	Fourth of the four mind-born sons of Brahma who cursed Jaya and Vijaya to be born as demons
Sanda	Teacher of Prahalada
Simhika	Prahlada's sister
Smaranam	Prahlada set an example for this
Sravanam	One of the nine methods of bhakti
Srimad Bhagavatam	The primary Puranic text containing the complete detailed pastime of Narasimha and Prahlada.
Sudarshana	The divine discus weapon of Lord Vishnu
Sukadeva	The primary narrator of the Srimad Bhagavatam who spoke the Narasimha pastime to King Parikshit
Sukracarya	Priest for demons
Threshold	The doorstep on which Hiranyakashipu was placed and killed fulfilling all conditions of his boon
Trivikrama	The three-step form of Lord Vamana born as grandson of Prahlada who measured all three worlds
Twilight	Hiranyakasipu was killed at this time
Ugra	A name of Lord Narasimha meaning the terrifying one in His ferocious form after killing Hiranyakashipu
Vaikuntha	The eternal spiritual abode of Lord Vishnu where Jaya and Vijaya served as gatekeepers before their curse
Vajra	The weapon Indra used in battles against Hiranyakashipu before the demon received his boon from Brahma
Vamana	Dwarf incarnation
Varaha	The boar incarnation of Lord Vishnu who killed Hiranyaksha and lifted the earth.
Varuna	Lord of the waters who directed Hiranyaksha to confront Lord Varaha leading to the boar incarnation's pastime
Vijaya	One of the two gatekeepers of Vaikuntha who was cursed by the four Kumaras to take birth as Hiranyaksha
Virochana	"An asura, son of Prahlada, and father of Bali."
Vishnu	The Supreme Lord who incarnates as Narasimha and other avatars to protect His devotees
Yudhishthira	The Dharmaraja who heard the Narasimha pastime from Bhishmadeva and was relieved of his distress
